dealer_busts,player_busts,player_loses,draw,player_wins,strategy
0.18,0.44,0.5,0.04,0.46,0.0
0.24,0.14,0.48,0.1,0.42,1.0
0.16,0.46,0.5,0.1,0.4,0.0
0.2,0.12,0.58,0.0,0.42,1.0
0.1,0.48,0.56,0.08,0.36,0.0
0.2,0.1,0.42,0.16,0.42,1.0
0.18,0.58,0.62,0.06,0.32,0.0
0.24,0.12,0.52,0.06,0.42,1.0
0.12,0.64,0.68,0.02,0.3,0.0
0.24,0.06,0.42,0.06,0.52,1.0
0.08,0.4,0.62,0.04,0.34,0.0
0.24,0.12,0.52,0.08,0.4,1.0
0.2,0.46,0.54,0.02,0.44,0.0
0.16,0.14,0.5,0.08,0.42,1.0
0.12,0.48,0.58,0.0,0.42,0.0
0.18,0.22,0.56,0.08,0.36,1.0
0.08,0.52,0.64,0.06,0.3,0.0
0.36,0.1,0.44,0.04,0.52,1.0
0.18,0.42,0.52,0.06,0.42,0.0
0.28,0.06,0.46,0.04,0.5,1.0
0.06,0.44,0.54,0.08,0.38,0.0
0.22,0.1,0.64,0.04,0.32,1.0
0.14,0.48,0.56,0.06,0.38,0.0
0.18,0.16,0.52,0.12,0.36,1.0
0.16,0.5,0.62,0.04,0.34,0.0
0.28,0.08,0.44,0.12,0.44,1.0
0.24,0.42,0.54,0.02,0.44,0.0
0.22,0.14,0.48,0.08,0.44,1.0
0.16,0.54,0.6,0.06,0.34,0.0
0.22,0.08,0.38,0.1,0.52,1.0
0.16,0.44,0.5,0.12,0.38,0.0
0.24,0.08,0.6,0.06,0.34,1.0
0.08,0.38,0.56,0.12,0.32,0.0
0.18,0.18,0.56,0.08,0.36,1.0
0.12,0.38,0.58,0.06,0.36,0.0
0.3,0.14,0.48,0.04,0.48,1.0
0.2,0.4,0.52,0.06,0.42,0.0
0.2,0.04,0.4,0.14,0.46,1.0
0.16,0.46,0.52,0.1,0.38,0.0
0.22,0.1,0.58,0.06,0.36,1.0
0.14,0.48,0.56,0.04,0.4,0.0
0.24,0.1,0.5,0.06,0.44,1.0
0.1,0.4,0.52,0.06,0.42,0.0
0.22,0.08,0.56,0.06,0.38,1.0
0.16,0.4,0.56,0.04,0.4,0.0
0.3,0.18,0.44,0.1,0.46,1.0
0.16,0.5,0.54,0.04,0.42,0.0
0.22,0.12,0.46,0.06,0.48,1.0
0.18,0.44,0.6,0.08,0.32,0.0
0.18,0.1,0.6,0.06,0.34,1.0
0.16,0.42,0.58,0.08,0.34,0.0
0.26,0.08,0.5,0.08,0.42,1.0
0.16,0.56,0.66,0.1,0.24,0.0
0.28,0.06,0.44,0.04,0.52,1.0
0.14,0.38,0.46,0.1,0.44,0.0
0.2,0.12,0.54,0.12,0.34,1.0
0.04,0.42,0.48,0.0,0.52,0.0
0.18,0.14,0.54,0.06,0.4,1.0
0.06,0.54,0.62,0.1,0.28,0.0
0.18,0.18,0.58,0.12,0.3,1.0
0.12,0.56,0.6,0.12,0.28,0.0
0.2,0.06,0.6,0.1,0.3,1.0
0.08,0.5,0.66,0.0,0.34,0.0
0.28,0.06,0.5,0.1,0.4,1.0
0.14,0.52,0.58,0.08,0.34,0.0
0.16,0.12,0.6,0.04,0.36,1.0
0.06,0.42,0.56,0.04,0.4,0.0
0.2,0.16,0.58,0.08,0.34,1.0
0.14,0.48,0.52,0.16,0.32,0.0
0.3,0.12,0.44,0.02,0.54,1.0
0.14,0.48,0.54,0.04,0.42,0.0
0.24,0.12,0.42,0.16,0.42,1.0
0.14,0.56,0.66,0.04,0.3,0.0
0.14,0.12,0.6,0.08,0.32,1.0
0.08,0.54,0.66,0.08,0.26,0.0
0.26,0.18,0.58,0.04,0.38,1.0
0.08,0.38,0.54,0.02,0.44,0.0
0.18,0.12,0.56,0.04,0.4,1.0
0.16,0.4,0.56,0.0,0.44,0.0
0.18,0.22,0.62,0.04,0.34,1.0
0.08,0.36,0.5,0.12,0.38,0.0
0.16,0.22,0.56,0.06,0.38,1.0
0.16,0.44,0.52,0.06,0.42,0.0
0.22,0.08,0.54,0.02,0.44,1.0
0.16,0.46,0.54,0.14,0.32,0.0
0.22,0.18,0.54,0.02,0.44,1.0
0.2,0.52,0.56,0.04,0.4,0.0
0.14,0.2,0.76,0.0,0.24,1.0
0.1,0.42,0.58,0.1,0.32,0.0
0.24,0.16,0.44,0.1,0.46,1.0
0.12,0.44,0.52,0.04,0.44,0.0
0.12,0.16,0.56,0.1,0.34,1.0
0.08,0.44,0.6,0.1,0.3,0.0
0.24,0.22,0.54,0.06,0.4,1.0
0.12,0.4,0.58,0.04,0.38,0.0
0.18,0.12,0.46,0.16,0.38,1.0
0.14,0.46,0.6,0.1,0.3,0.0
0.16,0.12,0.72,0.06,0.22,1.0
0.04,0.38,0.56,0.08,0.36,0.0
0.32,0.12,0.44,0.08,0.48,1.0
0.06,0.48,0.56,0.08,0.36,0.0
0.2,0.06,0.42,0.14,0.44,1.0
0.12,0.44,0.54,0.1,0.36,0.0
0.3,0.12,0.5,0.06,0.44,1.0
0.14,0.46,0.5,0.06,0.44,0.0
0.32,0.1,0.54,0.02,0.44,1.0
0.12,0.52,0.56,0.16,0.28,0.0
0.16,0.06,0.6,0.02,0.38,1.0
0.12,0.44,0.56,0.04,0.4,0.0
0.36,0.1,0.4,0.04,0.56,1.0
0.12,0.48,0.54,0.08,0.38,0.0
0.3,0.1,0.48,0.12,0.4,1.0
0.14,0.44,0.58,0.1,0.32,0.0
0.26,0.14,0.5,0.14,0.36,1.0
0.14,0.4,0.52,0.06,0.42,0.0
0.32,0.1,0.44,0.04,0.52,1.0
0.16,0.46,0.6,0.06,0.34,0.0
0.24,0.12,0.58,0.02,0.4,1.0
0.18,0.4,0.48,0.04,0.48,0.0
0.18,0.14,0.52,0.06,0.42,1.0
0.08,0.3,0.5,0.08,0.42,0.0
0.2,0.12,0.54,0.1,0.36,1.0
0.14,0.54,0.62,0.08,0.3,0.0
0.18,0.1,0.6,0.06,0.34,1.0
0.1,0.5,0.68,0.04,0.28,0.0
0.18,0.2,0.66,0.02,0.32,1.0
0.18,0.52,0.6,0.04,0.36,0.0
0.24,0.12,0.52,0.06,0.42,1.0
0.12,0.54,0.56,0.02,0.42,0.0
0.18,0.18,0.62,0.02,0.36,1.0
0.1,0.38,0.54,0.08,0.38,0.0
0.16,0.1,0.6,0.06,0.34,1.0
0.12,0.46,0.62,0.02,0.36,0.0
0.16,0.16,0.62,0.04,0.34,1.0
0.12,0.44,0.54,0.08,0.38,0.0
0.22,0.18,0.48,0.14,0.38,1.0
0.14,0.38,0.52,0.04,0.44,0.0
0.16,0.1,0.56,0.08,0.36,1.0
0.14,0.5,0.62,0.06,0.32,0.0
0.16,0.12,0.58,0.16,0.26,1.0
0.16,0.42,0.5,0.06,0.44,0.0
0.12,0.12,0.56,0.1,0.34,1.0
0.2,0.36,0.5,0.1,0.4,0.0
0.3,0.1,0.46,0.06,0.48,1.0
0.12,0.52,0.6,0.08,0.32,0.0
0.24,0.14,0.54,0.08,0.38,1.0
0.12,0.56,0.7,0.04,0.26,0.0
0.18,0.12,0.5,0.08,0.42,1.0
0.06,0.46,0.62,0.06,0.32,0.0
0.2,0.14,0.6,0.06,0.34,1.0
0.08,0.58,0.72,0.08,0.2,0.0
0.26,0.14,0.46,0.1,0.44,1.0
0.08,0.54,0.64,0.1,0.26,0.0
0.26,0.08,0.48,0.06,0.46,1.0
0.04,0.48,0.6,0.1,0.3,0.0
0.14,0.16,0.56,0.08,0.36,1.0
0.14,0.52,0.54,0.1,0.36,0.0
0.16,0.14,0.5,0.08,0.42,1.0
0.16,0.46,0.58,0.08,0.34,0.0
0.18,0.22,0.62,0.04,0.34,1.0
0.14,0.44,0.52,0.06,0.42,0.0
0.26,0.06,0.58,0.06,0.36,1.0
0.08,0.36,0.52,0.08,0.4,0.0
0.3,0.06,0.54,0.02,0.44,1.0
0.16,0.46,0.58,0.06,0.36,0.0
0.24,0.06,0.44,0.04,0.52,1.0
0.14,0.46,0.58,0.12,0.3,0.0
0.26,0.08,0.48,0.08,0.44,1.0
0.16,0.46,0.58,0.02,0.4,0.0
0.22,0.16,0.58,0.04,0.38,1.0
0.06,0.54,0.62,0.08,0.3,0.0
0.22,0.0,0.5,0.1,0.4,1.0
0.2,0.42,0.52,0.06,0.42,0.0
0.22,0.08,0.56,0.06,0.38,1.0
0.08,0.42,0.5,0.12,0.38,0.0
0.22,0.16,0.48,0.04,0.48,1.0
0.16,0.5,0.52,0.08,0.4,0.0
0.26,0.12,0.5,0.1,0.4,1.0
0.14,0.34,0.46,0.08,0.46,0.0
0.2,0.12,0.56,0.12,0.32,1.0
0.14,0.44,0.54,0.04,0.42,0.0
0.2,0.1,0.62,0.06,0.32,1.0
0.12,0.52,0.7,0.06,0.24,0.0
0.22,0.08,0.5,0.08,0.42,1.0
0.12,0.54,0.62,0.02,0.36,0.0
0.28,0.08,0.42,0.1,0.48,1.0
0.12,0.46,0.56,0.08,0.36,0.0
0.3,0.1,0.52,0.1,0.38,1.0
0.1,0.56,0.6,0.08,0.32,0.0
0.14,0.08,0.6,0.06,0.34,1.0
0.1,0.54,0.62,0.06,0.32,0.0
0.28,0.18,0.46,0.1,0.44,1.0
0.08,0.54,0.7,0.1,0.2,0.0
0.26,0.1,0.52,0.16,0.32,1.0
0.16,0.42,0.56,0.08,0.36,0.0
0.3,0.06,0.4,0.1,0.5,1.0
0.22,0.46,0.58,0.04,0.38,0.0
0.22,0.12,0.64,0.02,0.34,1.0
0.06,0.48,0.62,0.1,0.28,0.0
0.3,0.1,0.42,0.12,0.46,1.0
0.12,0.5,0.56,0.1,0.34,0.0
0.14,0.06,0.52,0.0,0.48,1.0
0.1,0.48,0.6,0.08,0.32,0.0
0.28,0.12,0.52,0.08,0.4,1.0
0.2,0.5,0.58,0.02,0.4,0.0
0.2,0.12,0.6,0.08,0.32,1.0
0.06,0.54,0.66,0.06,0.28,0.0
0.3,0.16,0.5,0.1,0.4,1.0
0.2,0.48,0.54,0.08,0.38,0.0
0.18,0.06,0.58,0.06,0.36,1.0
0.16,0.5,0.56,0.04,0.4,0.0
0.22,0.16,0.58,0.02,0.4,1.0
0.18,0.52,0.6,0.04,0.36,0.0
0.16,0.1,0.6,0.04,0.36,1.0
0.18,0.46,0.56,0.06,0.38,0.0
0.32,0.14,0.46,0.06,0.48,1.0
0.08,0.56,0.58,0.12,0.3,0.0
0.2,0.14,0.54,0.1,0.36,1.0
0.08,0.58,0.62,0.02,0.36,0.0
0.22,0.22,0.48,0.12,0.4,1.0
0.06,0.66,0.74,0.02,0.24,0.0
0.28,0.12,0.5,0.06,0.44,1.0
0.12,0.54,0.6,0.02,0.38,0.0
0.18,0.16,0.56,0.08,0.36,1.0
0.1,0.48,0.58,0.12,0.3,0.0
0.14,0.1,0.58,0.06,0.36,1.0
0.14,0.56,0.64,0.04,0.32,0.0
0.2,0.02,0.5,0.08,0.42,1.0
0.16,0.48,0.62,0.04,0.34,0.0
0.16,0.12,0.6,0.06,0.34,1.0
0.12,0.48,0.54,0.06,0.4,0.0
0.16,0.12,0.5,0.1,0.4,1.0
0.14,0.36,0.44,0.18,0.38,0.0
0.18,0.12,0.6,0.04,0.36,1.0
0.12,0.52,0.64,0.04,0.32,0.0
0.2,0.16,0.5,0.12,0.38,1.0
0.2,0.28,0.42,0.08,0.5,0.0
0.24,0.08,0.46,0.12,0.42,1.0
0.14,0.56,0.62,0.02,0.36,0.0
0.24,0.12,0.6,0.08,0.32,1.0
0.1,0.4,0.48,0.1,0.42,0.0
0.14,0.04,0.68,0.04,0.28,1.0
0.08,0.6,0.66,0.04,0.3,0.0
0.32,0.1,0.4,0.04,0.56,1.0
0.1,0.48,0.52,0.12,0.36,0.0
0.28,0.06,0.5,0.1,0.4,1.0
0.08,0.5,0.58,0.06,0.36,0.0
0.24,0.18,0.52,0.08,0.4,1.0
0.12,0.46,0.5,0.04,0.46,0.0
0.16,0.1,0.6,0.06,0.34,1.0
0.14,0.46,0.54,0.04,0.42,0.0
0.24,0.14,0.56,0.06,0.38,1.0
0.16,0.56,0.62,0.02,0.36,0.0
0.2,0.16,0.54,0.04,0.42,1.0
0.06,0.5,0.6,0.08,0.32,0.0
0.24,0.24,0.58,0.06,0.36,1.0
0.14,0.44,0.52,0.08,0.4,0.0
0.12,0.1,0.48,0.06,0.46,1.0
0.08,0.48,0.58,0.06,0.36,0.0
0.14,0.12,0.56,0.08,0.36,1.0
0.12,0.4,0.44,0.1,0.46,0.0
0.2,0.14,0.56,0.12,0.32,1.0
0.08,0.5,0.58,0.02,0.4,0.0
0.26,0.08,0.48,0.06,0.46,1.0
0.06,0.62,0.66,0.1,0.24,0.0
0.22,0.08,0.54,0.12,0.34,1.0
0.18,0.5,0.56,0.04,0.4,0.0
0.14,0.14,0.6,0.08,0.32,1.0
0.08,0.54,0.62,0.1,0.28,0.0
0.16,0.14,0.46,0.16,0.38,1.0
0.12,0.44,0.52,0.06,0.42,0.0
0.22,0.14,0.48,0.1,0.42,1.0
0.14,0.48,0.6,0.04,0.36,0.0
0.18,0.2,0.66,0.0,0.34,1.0
0.14,0.58,0.64,0.04,0.32,0.0
0.24,0.16,0.5,0.06,0.44,1.0
0.14,0.34,0.46,0.12,0.42,0.0
0.32,0.1,0.5,0.06,0.44,1.0
0.12,0.38,0.46,0.1,0.44,0.0
0.08,0.2,0.6,0.08,0.32,1.0
0.12,0.5,0.56,0.1,0.34,0.0
0.26,0.16,0.6,0.08,0.32,1.0
0.12,0.54,0.6,0.1,0.3,0.0
0.22,0.12,0.5,0.08,0.42,1.0
0.24,0.38,0.48,0.06,0.46,0.0
0.2,0.16,0.62,0.06,0.32,1.0
0.1,0.52,0.56,0.04,0.4,0.0
0.08,0.14,0.58,0.1,0.32,1.0
0.08,0.44,0.5,0.14,0.36,0.0
0.34,0.12,0.34,0.14,0.52,1.0
0.04,0.44,0.54,0.12,0.34,0.0
0.26,0.14,0.5,0.08,0.42,1.0
0.08,0.58,0.68,0.04,0.28,0.0
0.3,0.06,0.5,0.06,0.44,1.0
0.16,0.42,0.54,0.06,0.4,0.0
0.22,0.14,0.62,0.02,0.36,1.0
0.12,0.54,0.66,0.04,0.3,0.0
0.18,0.12,0.52,0.06,0.42,1.0
0.14,0.46,0.64,0.04,0.32,0.0
0.3,0.12,0.46,0.02,0.52,1.0
0.18,0.42,0.5,0.08,0.42,0.0
0.16,0.16,0.52,0.04,0.44,1.0
0.18,0.52,0.6,0.06,0.34,0.0
0.22,0.12,0.54,0.06,0.4,1.0
0.12,0.58,0.7,0.04,0.26,0.0
0.22,0.1,0.6,0.04,0.36,1.0
0.18,0.52,0.64,0.0,0.36,0.0
0.38,0.1,0.4,0.06,0.54,1.0
0.22,0.34,0.44,0.02,0.54,0.0
0.18,0.08,0.56,0.12,0.32,1.0
0.14,0.46,0.62,0.02,0.36,0.0
0.28,0.14,0.5,0.06,0.44,1.0
0.08,0.5,0.56,0.02,0.42,0.0
0.2,0.22,0.58,0.08,0.34,1.0
0.1,0.44,0.56,0.04,0.4,0.0
0.22,0.1,0.54,0.04,0.42,1.0
0.08,0.54,0.76,0.02,0.22,0.0
0.2,0.16,0.58,0.08,0.34,1.0
0.12,0.5,0.56,0.08,0.36,0.0
0.28,0.12,0.5,0.04,0.46,1.0
0.12,0.42,0.52,0.1,0.38,0.0
0.36,0.08,0.46,0.1,0.44,1.0
0.12,0.42,0.54,0.08,0.38,0.0
0.16,0.1,0.56,0.04,0.4,1.0
0.12,0.36,0.5,0.12,0.38,0.0
0.16,0.1,0.48,0.1,0.42,1.0
0.14,0.5,0.58,0.04,0.38,0.0
0.28,0.14,0.58,0.08,0.34,1.0
0.08,0.44,0.6,0.1,0.3,0.0
0.26,0.12,0.46,0.04,0.5,1.0
0.14,0.4,0.44,0.06,0.5,0.0
0.3,0.12,0.46,0.06,0.48,1.0
0.1,0.46,0.54,0.1,0.36,0.0
0.28,0.16,0.56,0.02,0.42,1.0
0.1,0.54,0.68,0.04,0.28,0.0
0.14,0.12,0.6,0.06,0.34,1.0
0.08,0.44,0.52,0.16,0.32,0.0
0.3,0.12,0.46,0.06,0.48,1.0
0.22,0.48,0.52,0.06,0.42,0.0
0.2,0.12,0.62,0.06,0.32,1.0
0.14,0.36,0.5,0.08,0.42,0.0
0.12,0.22,0.58,0.02,0.4,1.0
0.22,0.44,0.5,0.02,0.48,0.0
0.36,0.06,0.36,0.08,0.56,1.0
0.14,0.48,0.52,0.0,0.48,0.0
0.24,0.12,0.58,0.08,0.34,1.0
0.14,0.54,0.58,0.06,0.36,0.0
0.24,0.2,0.54,0.06,0.4,1.0
0.14,0.52,0.54,0.04,0.42,0.0
0.18,0.18,0.64,0.08,0.28,1.0
0.04,0.5,0.62,0.04,0.34,0.0
0.22,0.14,0.48,0.04,0.48,1.0
0.12,0.6,0.66,0.02,0.32,0.0
0.26,0.12,0.5,0.06,0.44,1.0
0.1,0.52,0.6,0.12,0.28,0.0
0.2,0.12,0.52,0.06,0.42,1.0
0.12,0.46,0.6,0.1,0.3,0.0
0.3,0.06,0.42,0.1,0.48,1.0
0.22,0.5,0.54,0.04,0.42,0.0
0.22,0.06,0.64,0.02,0.34,1.0
0.1,0.42,0.46,0.1,0.44,0.0
0.32,0.08,0.44,0.08,0.48,1.0
0.1,0.5,0.6,0.02,0.38,0.0
0.36,0.06,0.42,0.08,0.5,1.0
0.12,0.44,0.58,0.1,0.32,0.0
0.26,0.16,0.6,0.06,0.34,1.0
0.24,0.32,0.44,0.08,0.48,0.0
0.26,0.12,0.54,0.06,0.4,1.0
0.16,0.38,0.46,0.1,0.44,0.0
0.24,0.06,0.54,0.08,0.38,1.0
0.08,0.5,0.58,0.12,0.3,0.0
0.18,0.1,0.56,0.1,0.34,1.0
0.12,0.32,0.54,0.02,0.44,0.0
0.16,0.1,0.46,0.18,0.36,1.0
0.1,0.54,0.64,0.02,0.34,0.0
0.24,0.1,0.48,0.1,0.42,1.0
0.1,0.62,0.68,0.04,0.28,0.0
0.28,0.14,0.48,0.08,0.44,1.0
0.18,0.44,0.54,0.02,0.44,0.0
0.12,0.16,0.7,0.02,0.28,1.0
0.12,0.38,0.48,0.1,0.42,0.0
0.28,0.04,0.4,0.1,0.5,1.0
0.12,0.5,0.64,0.08,0.28,0.0
0.16,0.1,0.6,0.1,0.3,1.0
0.06,0.52,0.58,0.12,0.3,0.0
0.26,0.12,0.52,0.02,0.46,1.0
0.16,0.54,0.64,0.08,0.28,0.0
0.28,0.14,0.56,0.06,0.38,1.0
0.08,0.48,0.58,0.16,0.26,0.0
0.18,0.18,0.62,0.04,0.34,1.0
0.12,0.52,0.66,0.02,0.32,0.0
0.16,0.1,0.5,0.16,0.34,1.0
0.14,0.3,0.5,0.12,0.38,0.0
0.24,0.06,0.5,0.08,0.42,1.0
0.14,0.44,0.56,0.08,0.36,0.0
0.24,0.22,0.62,0.06,0.32,1.0
0.16,0.46,0.52,0.06,0.42,0.0
0.34,0.12,0.48,0.08,0.44,1.0
0.12,0.34,0.42,0.1,0.48,0.0
0.34,0.06,0.44,0.08,0.48,1.0
0.16,0.34,0.4,0.12,0.48,0.0
0.24,0.1,0.52,0.12,0.36,1.0
0.12,0.56,0.64,0.0,0.36,0.0
0.26,0.14,0.42,0.1,0.48,1.0
0.2,0.58,0.64,0.02,0.34,0.0
0.3,0.1,0.38,0.12,0.5,1.0
0.12,0.38,0.52,0.1,0.38,0.0
0.28,0.18,0.54,0.06,0.4,1.0
0.12,0.36,0.52,0.08,0.4,0.0
0.28,0.14,0.4,0.1,0.5,1.0
0.12,0.4,0.54,0.06,0.4,0.0
0.14,0.08,0.46,0.18,0.36,1.0
0.1,0.54,0.6,0.08,0.32,0.0
0.3,0.18,0.6,0.02,0.38,1.0
0.22,0.38,0.5,0.08,0.42,0.0
0.22,0.16,0.52,0.06,0.42,1.0
0.1,0.48,0.58,0.06,0.36,0.0
0.14,0.18,0.52,0.14,0.34,1.0
0.1,0.48,0.64,0.06,0.3,0.0
0.18,0.08,0.56,0.08,0.36,1.0
0.12,0.36,0.52,0.06,0.42,0.0
0.28,0.04,0.38,0.02,0.6,1.0
0.26,0.4,0.44,0.04,0.52,0.0
0.2,0.06,0.44,0.14,0.42,1.0
0.12,0.5,0.58,0.08,0.34,0.0
0.24,0.08,0.42,0.12,0.46,1.0
0.14,0.46,0.62,0.06,0.32,0.0
0.3,0.06,0.4,0.04,0.56,1.0
0.14,0.4,0.56,0.06,0.38,0.0
0.26,0.14,0.56,0.08,0.36,1.0
0.08,0.4,0.54,0.06,0.4,0.0
0.24,0.18,0.5,0.1,0.4,1.0
0.18,0.4,0.46,0.0,0.54,0.0
0.32,0.1,0.46,0.06,0.48,1.0
0.08,0.5,0.62,0.06,0.32,0.0
0.3,0.16,0.5,0.04,0.46,1.0
0.1,0.56,0.68,0.04,0.28,0.0
0.28,0.18,0.5,0.04,0.46,1.0
0.12,0.46,0.58,0.06,0.36,0.0
0.3,0.06,0.48,0.16,0.36,1.0
0.12,0.44,0.5,0.08,0.42,0.0
0.32,0.06,0.5,0.08,0.42,1.0
0.2,0.42,0.52,0.08,0.4,0.0
0.22,0.12,0.54,0.08,0.38,1.0
0.14,0.44,0.6,0.06,0.34,0.0
0.22,0.14,0.52,0.06,0.42,1.0
0.04,0.48,0.62,0.1,0.28,0.0
0.2,0.14,0.48,0.08,0.44,1.0
0.18,0.52,0.58,0.06,0.36,0.0
0.22,0.06,0.52,0.08,0.4,1.0
0.08,0.5,0.66,0.04,0.3,0.0
0.16,0.08,0.52,0.1,0.38,1.0
0.1,0.44,0.58,0.1,0.32,0.0
0.2,0.08,0.56,0.1,0.34,1.0
0.14,0.52,0.64,0.04,0.32,0.0
0.12,0.1,0.6,0.06,0.34,1.0
0.1,0.5,0.62,0.1,0.28,0.0
0.18,0.2,0.6,0.06,0.34,1.0
0.16,0.46,0.54,0.08,0.38,0.0
0.28,0.16,0.62,0.02,0.36,1.0
0.08,0.5,0.62,0.14,0.24,0.0
0.26,0.06,0.48,0.02,0.5,1.0
0.12,0.44,0.52,0.14,0.34,0.0
0.16,0.12,0.5,0.16,0.34,1.0
0.12,0.5,0.56,0.04,0.4,0.0
0.22,0.14,0.56,0.1,0.34,1.0
0.1,0.42,0.58,0.1,0.32,0.0
0.14,0.16,0.64,0.08,0.28,1.0
0.2,0.54,0.56,0.06,0.38,0.0
0.16,0.18,0.54,0.06,0.4,1.0
0.1,0.52,0.6,0.06,0.34,0.0
0.3,0.1,0.46,0.08,0.46,1.0
0.1,0.6,0.66,0.06,0.28,0.0
0.22,0.08,0.48,0.1,0.42,1.0
0.2,0.44,0.52,0.06,0.42,0.0
0.14,0.16,0.46,0.06,0.48,1.0
0.14,0.46,0.56,0.06,0.38,0.0
0.24,0.14,0.52,0.06,0.42,1.0
0.2,0.52,0.58,0.02,0.4,0.0
0.24,0.08,0.38,0.2,0.42,1.0
0.1,0.52,0.66,0.04,0.3,0.0
0.14,0.08,0.52,0.04,0.44,1.0
0.2,0.58,0.6,0.04,0.36,0.0
0.22,0.14,0.5,0.1,0.4,1.0
0.14,0.38,0.56,0.08,0.36,0.0
0.24,0.08,0.56,0.06,0.38,1.0
0.12,0.48,0.58,0.06,0.36,0.0
0.24,0.1,0.56,0.08,0.36,1.0
0.1,0.38,0.48,0.06,0.46,0.0
0.14,0.12,0.52,0.12,0.36,1.0
0.18,0.44,0.54,0.02,0.44,0.0
0.14,0.2,0.56,0.1,0.34,1.0
0.14,0.44,0.5,0.12,0.38,0.0
0.3,0.12,0.54,0.02,0.44,1.0
0.08,0.54,0.66,0.08,0.26,0.0
0.36,0.1,0.4,0.06,0.54,1.0
0.22,0.36,0.44,0.12,0.44,0.0
0.1,0.08,0.46,0.2,0.34,1.0
0.16,0.48,0.6,0.04,0.36,0.0
0.26,0.08,0.56,0.04,0.4,1.0
0.1,0.4,0.56,0.1,0.34,0.0
0.22,0.14,0.52,0.04,0.44,1.0
0.1,0.56,0.62,0.04,0.34,0.0
0.14,0.18,0.72,0.02,0.26,1.0
0.18,0.48,0.58,0.06,0.36,0.0
0.2,0.18,0.64,0.08,0.28,1.0
0.12,0.36,0.44,0.08,0.48,0.0
0.26,0.06,0.48,0.04,0.48,1.0
0.1,0.44,0.62,0.1,0.28,0.0
0.18,0.16,0.54,0.1,0.36,1.0
0.22,0.44,0.5,0.04,0.46,0.0
0.22,0.16,0.54,0.06,0.4,1.0
0.1,0.48,0.64,0.04,0.32,0.0
0.18,0.12,0.56,0.08,0.36,1.0
0.14,0.44,0.56,0.1,0.34,0.0
0.2,0.16,0.52,0.06,0.42,1.0
0.18,0.28,0.36,0.1,0.54,0.0
0.1,0.1,0.56,0.06,0.38,1.0
0.08,0.52,0.62,0.1,0.28,0.0
0.22,0.08,0.5,0.06,0.44,1.0
0.14,0.48,0.52,0.08,0.4,0.0
0.26,0.16,0.46,0.08,0.46,1.0
0.08,0.58,0.64,0.04,0.32,0.0
0.32,0.04,0.48,0.02,0.5,1.0
0.18,0.46,0.54,0.0,0.46,0.0
0.18,0.08,0.44,0.1,0.46,1.0
0.16,0.46,0.52,0.06,0.42,0.0
0.2,0.2,0.62,0.04,0.34,1.0
0.14,0.46,0.52,0.06,0.42,0.0
0.2,0.12,0.5,0.1,0.4,1.0
0.08,0.4,0.52,0.12,0.36,0.0
0.36,0.18,0.5,0.06,0.44,1.0
0.08,0.46,0.62,0.04,0.34,0.0
0.16,0.12,0.48,0.12,0.4,1.0
0.06,0.64,0.72,0.02,0.26,0.0
0.36,0.08,0.44,0.08,0.48,1.0
0.1,0.48,0.56,0.12,0.32,0.0
0.18,0.2,0.56,0.04,0.4,1.0
0.2,0.44,0.54,0.08,0.38,0.0
0.14,0.14,0.68,0.04,0.28,1.0
0.12,0.5,0.58,0.06,0.36,0.0
0.22,0.08,0.48,0.08,0.44,1.0
0.12,0.52,0.56,0.08,0.36,0.0
0.16,0.14,0.56,0.04,0.4,1.0
0.14,0.48,0.64,0.06,0.3,0.0
0.14,0.14,0.56,0.06,0.38,1.0
0.1,0.46,0.58,0.04,0.38,0.0
0.3,0.14,0.46,0.02,0.52,1.0
0.18,0.42,0.48,0.02,0.5,0.0
0.26,0.18,0.54,0.02,0.44,1.0
0.12,0.34,0.52,0.1,0.38,0.0
0.4,0.06,0.44,0.06,0.5,1.0
0.1,0.5,0.58,0.06,0.36,0.0
0.32,0.12,0.5,0.1,0.4,1.0
0.08,0.4,0.54,0.08,0.38,0.0
0.3,0.14,0.42,0.08,0.5,1.0
0.16,0.38,0.42,0.08,0.5,0.0
0.18,0.1,0.48,0.1,0.42,1.0
0.08,0.48,0.56,0.1,0.34,0.0
0.22,0.24,0.66,0.02,0.32,1.0
0.1,0.48,0.6,0.1,0.3,0.0
0.2,0.12,0.44,0.18,0.38,1.0
0.18,0.38,0.54,0.08,0.38,0.0
0.26,0.04,0.44,0.12,0.44,1.0
0.2,0.48,0.54,0.08,0.38,0.0
0.26,0.14,0.4,0.1,0.5,1.0
0.1,0.5,0.54,0.14,0.32,0.0
0.28,0.06,0.46,0.08,0.46,1.0
0.08,0.52,0.64,0.08,0.28,0.0
0.28,0.14,0.52,0.06,0.42,1.0
0.12,0.48,0.62,0.04,0.34,0.0
0.3,0.06,0.38,0.14,0.48,1.0
0.1,0.4,0.52,0.1,0.38,0.0
0.3,0.06,0.34,0.14,0.52,1.0
0.14,0.4,0.5,0.12,0.38,0.0
0.16,0.12,0.56,0.04,0.4,1.0
0.16,0.36,0.52,0.12,0.36,0.0
0.22,0.16,0.5,0.06,0.44,1.0
0.1,0.5,0.64,0.02,0.34,0.0
0.22,0.14,0.48,0.08,0.44,1.0
0.1,0.56,0.66,0.04,0.3,0.0
0.28,0.04,0.48,0.04,0.48,1.0
